%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,,,,
1.53658E+18,780,894,897,819,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,781,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,895,897,819,1023,970,845,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1013,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1014,662,556,882,,,,
1.53658E+18,780,895,897,818,1023,970,844,924,1014,662,556,882,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,923,1014,662,556,883,,,,
1.53658E+18,780,895,897,818,1023,970,845,923,1013,662,556,883,,,,
1.53658E+18,780,894,897,818,1022,970,844,923,1014,662,556,882,,,,
1.53658E+18,780,894,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,781,894,897,817,1023,970,845,924,1013,662,556,882,,,,
1.53658E+18,781,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1014,662,556,882,,,,
1.53658E+18,781,894,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,781,895,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,781,894,896,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1013,662,556,883,,,,
1.53658E+18,780,894,897,817,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,781,895,896,818,1023,970,844,923,1014,662,556,884,,,,
1.53658E+18,780,894,897,818,1023,969,844,923,1014,662,556,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,895,897,817,1023,971,844,923,1014,662,556,882,,,,
1.53658E+18,780,895,897,817,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,895,896,818,1023,969,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,895,897,818,1023,970,845,923,1014,662,556,883,,,,
1.53658E+18,780,894,897,817,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,896,817,1023,969,844,923,1014,662,556,883,,,,
1.53658E+18,781,894,896,817,1022,969,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,896,817,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,895,897,817,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,895,896,817,1023,969,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,896,817,1023,970,844,924,1013,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1014,662,556,884,,,,
1.53658E+18,779,894,897,818,1023,970,845,923,1014,662,556,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,895,897,818,1023,971,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,896,818,1023,970,844,923,1013,662,555,883,,,,
1.53658E+18,780,895,897,818,1023,969,844,923,1014,662,555,883,,,,
1.53658E+18,780,895,897,818,1023,970,844,923,1014,662,556,882,,,,
1.53658E+18,781,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,923,1014,662,555,883,,,,
1.53658E+18,780,894,897,818,1023,969,844,923,1014,662,556,883,,,,
1.53658E+18,781,894,897,818,1023,969,844,923,1014,661,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1014,662,555,883,,,,
1.53658E+18,780,894,896,818,1023,970,844,924,1014,662,555,883,,,,
1.53658E+18,780,894,897,818,1022,969,844,923,1013,662,555,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,969,844,923,1014,661,555,883,,,,
1.53658E+18,780,894,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,780,894,897,818,1023,970,845,923,1014,662,556,883,,,,
1.53658E+18,781,894,897,818,1023,970,844,923,1014,662,555,883,,,,
1.53658E+18,781,894,897,818,1023,970,844,923,1014,662,555,882,,,,
1.53658E+18,781,894,897,818,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,782,894,897,819,1023,970,844,923,1014,662,556,884,,,,
1.53658E+18,782,894,897,819,1023,969,844,923,1014,662,555,882,,,,
1.53658E+18,782,894,897,819,1023,970,844,924,1014,662,556,883,,,,
1.53658E+18,783,894,897,819,1023,970,845,923,1014,662,556,883,,,,
1.53658E+18,782,894,896,819,1023,970,844,923,1014,662,555,883,,,,
1.53658E+18,782,894,896,819,1023,969,844,924,1014,661,555,883,,,,
1.53658E+18,783,894,897,819,1023,970,844,923,1014,662,556,883,,,,
1.53658E+18,783,894,897,819,1023,969,845,923,1013,662,555,883,,,,
1.53658E+18,783,894,897,819,1023,970,845,923,1014,661,555,882,,,,
1.53658E+18,783,893,896,819,1023,969,845,922,1014,661,555,883,,,,
1.53658E+18,784,894,897,820,1023,970,845,923,1014,661,555,883,,,,
1.53658E+18,784,895,897,820,1023,970,845,923,1014,661,555,883,,,,
1.53658E+18,784,895,897,819,1023,970,844,923,1014,661,555,883,,,,
1.53658E+18,785,894,897,820,1023,969,845,923,1014,661,555,883,,,,
1.53658E+18,785,894,897,820,1023,969,844,923,1014,661,555,884,,,,
1.53658E+18,785,894,897,821,1023,970,844,923,1014,661,555,883,,,,
1.53658E+18,785,894,897,821,1023,970,845,923,1014,661,555,883,,,,
1.53658E+18,785,895,897,821,1023,969,844,924,1014,661,555,883,,,,
1.53658E+18,785,895,897,821,1023,970,844,923,1014,661,554,883,,,,
1.53658E+18,785,894,897,822,1023,969,845,923,1014,661,555,883,,,,
1.53658E+18,786,895,898,822,1023,970,845,923,1014,661,555,883,,,,
1.53658E+18,786,895,897,822,1023,970,844,923,1014,661,555,882,,,,
1.53658E+18,787,895,898,822,1023,969,844,923,1014,661,554,883,,,,
1.53658E+18,786,895,897,822,1023,969,845,923,1014,661,554,883,,,,
1.53658E+18,786,895,898,822,1023,969,844,923,1015,661,554,882,,,,
1.53658E+18,786,895,898,822,1023,970,845,923,1014,661,554,883,,,,
1.53658E+18,786,895,898,822,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,786,895,899,822,1023,970,844,923,1014,661,554,883,,,,
1.53658E+18,786,895,900,822,1023,969,844,923,1014,661,554,882,,,,
1.53658E+18,786,895,899,822,1023,970,845,923,1015,661,554,883,,,,
1.53658E+18,786,895,900,822,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,786,895,900,822,1023,970,845,923,1013,661,554,882,,,,
1.53658E+18,786,895,900,822,1023,970,845,923,1014,661,554,883,,,,
1.53658E+18,786,896,900,822,1023,970,844,923,1013,661,554,883,,,,
1.53658E+18,786,895,901,822,1023,970,844,923,1015,661,554,882,,,,
1.53658E+18,786,895,900,822,1023,970,845,923,1014,661,554,883,,,,
1.53658E+18,787,897,900,823,1023,970,845,922,1014,661,554,883,,,,
1.53658E+18,786,895,901,822,1023,971,844,922,1013,661,554,882,,,,
1.53658E+18,786,895,901,822,1023,970,844,923,1014,661,554,883,,,,
1.53658E+18,786,895,901,822,1023,970,845,923,1014,661,554,883,,,,
1.53658E+18,786,895,901,822,1023,971,844,923,1014,661,554,882,,,,
1.53658E+18,785,895,901,822,1023,970,845,922,1014,661,554,883,,,,
1.53658E+18,786,895,901,822,1023,970,845,923,1013,661,554,883,,,,
1.53658E+18,786,896,901,822,1023,970,845,923,1014,661,554,882,,,,
1.53658E+18,786,896,900,822,1023,970,844,924,1014,661,554,882,,,,
1.53658E+18,786,896,901,822,1023,971,844,923,1014,661,554,882,,,,
1.53658E+18,786,896,901,822,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,786,896,901,822,1023,970,844,923,1014,661,553,882,,,,
1.53658E+18,786,896,900,822,1023,970,845,922,1014,661,554,882,,,,
1.53658E+18,786,896,900,822,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,786,896,900,822,1023,970,844,924,1013,661,554,882,,,,
1.53658E+18,786,896,901,822,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,786,895,900,822,1023,970,844,923,1013,661,554,882,,,,
1.53658E+18,786,895,901,822,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,786,896,900,821,1023,970,844,924,1014,661,553,882,,,,
1.53658E+18,786,896,900,822,1023,970,845,923,1014,661,553,883,,,,
1.53658E+18,785,896,900,822,1023,970,844,923,1013,661,554,883,,,,
1.53658E+18,786,896,900,822,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,786,896,900,821,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,786,895,900,822,1023,970,844,923,1014,661,554,883,,,,
1.53658E+18,785,896,901,822,1023,970,844,923,1014,661,554,883,,,,
1.53658E+18,785,895,900,822,1023,970,844,923,1014,661,554,883,,,,
1.53658E+18,785,896,900,821,1023,970,844,922,1014,661,554,882,,,,
1.53658E+18,785,895,900,822,1023,970,844,922,1014,661,554,882,,,,
1.53658E+18,785,895,900,822,1023,970,844,922,1014,661,554,883,,,,
1.53658E+18,785,896,900,822,1023,970,844,923,1014,661,554,883,,,,
1.53658E+18,785,896,901,821,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,785,895,900,822,1023,970,845,923,1014,661,554,882,,,,
1.53658E+18,785,895,900,822,1023,971,844,923,1013,662,554,883,,,,
1.53658E+18,785,895,900,822,1023,970,844,923,1013,661,554,882,,,,
1.53658E+18,785,895,901,822,1023,970,844,923,1013,661,554,882,,,,
1.53658E+18,785,895,900,821,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,785,895,900,821,1023,970,845,923,1014,661,554,884,,,,
1.53658E+18,785,896,901,822,1023,971,844,921,1014,661,554,882,,,,
1.53658E+18,785,895,900,821,1023,970,844,922,1014,661,554,883,,,,
1.53658E+18,785,896,900,821,1023,970,845,923,1014,661,554,882,,,,
1.53658E+18,785,896,900,821,1023,970,845,922,1014,661,554,882,,,,
